experiment,instrument,cluster,n_features,features,baseline_roc_auc,permuted_roc_auc,roc_auc_drop,baseline_f1,permuted_f1,f1_drop
baseline,es1s,cross_sectional,7,asset_class_mom_20; asset_class_vol_20; cs_mom_20_rank; cs_mom_63_rank; cs_rsi_rank; cs_vol_20_rank; cs_volume_rank,0.4825367647058823,0.4752859477124183,0.0072508169934640265,0.5477707006369427,0.5477314214716457,3.9279165297001484e-05
baseline,es1s,gmm_regime,5,gmm_entropy; gmm_regime_0; gmm_regime_1; gmm_regime_2; gmm_regime_id,0.4825367647058823,0.4650735294117647,0.017463235294117585,0.5477707006369427,0.5550687006383209,-0.0072980000013782576
baseline,es1s,open_interest,4,open_interest_chg_1; open_interest_trend_20_60; open_interest_z_20; volume_oi_ratio,0.4825367647058823,0.5120506535947713,-0.029513888888889006,0.5477707006369427,0.5501267036504349,-0.0023560030134922583
baseline,es1s,pca_latent,3,pca_ohlcv_1; pca_ohlcv_2; pca_ohlcv_3,0.4825367647058823,0.4962214052287582,-0.01368464052287588,0.5477707006369427,0.5581059968753755,-0.010335296238432878
baseline,es1s,return_momentum,14,log_ret_1; ma_gap_10; ma_gap_20; ma_gap_5; ma_gap_63; mom_10; mom_20; mom_5; mom_63; price_z_10; price_z_20; price_z_5; price_z_63; ret_1,0.4825367647058823,0.48886846405228757,-0.006331699346405262,0.5477707006369427,0.5533642484106881,-0.005593547773745433
baseline,es1s,technical_indicators,24,body_pct; bollinger_bandwidth_20; bollinger_pos_20; gap_pct; macd_hist_pct; macd_pct; macd_signal_pct; prev_signal; primary_signal; rsi_14; rv_10; rv_20; rv_5; rv_63; signal_abs; signal_changed; signal_long; signal_long_rate_20; signal_nonzero_rate_20; signal_run_length; signal_short; signal_short_rate_20; signal_zero; stoch_14,0.4825367647058823,0.47038398692810457,0.012152777777777735,0.5477707006369427,0.5764368543116172,-0.02866615367467451
baseline,es1s,volatility_stress,6,atr_14; downside_vol_20; ewma_vol_20; ewma_vol_60; parkinson_vol_20; range_pct,0.4825367647058823,0.4812091503267974,0.001327614379084907,0.5477707006369427,0.5446676465784747,0.003103054058468002
baseline,es1s,volume_liquidity,5,amihud_20; log_dollar_volume; volume_chg_1; volume_trend_20_60; volume_z_20,0.4825367647058823,0.4805964052287582,0.0019403594771241206,0.5477707006369427,0.5569620253164557,-0.009191324679513002
baseline,nq1s,cross_sectional,7,asset_class_mom_20; asset_class_vol_20; cs_mom_20_rank; cs_mom_63_rank; cs_rsi_rank; cs_vol_20_rank; cs_volume_rank,0.33945221445221446,0.47863247863247854,-0.13918026418026408,0.7,0.6779882289994649,0.022011771000535085
baseline,nq1s,gmm_regime,5,gmm_entropy; gmm_regime_0; gmm_regime_1; gmm_regime_2; gmm_regime_id,0.33945221445221446,0.3463480963480963,-0.006895881895881861,0.7,0.6975791433891994,0.0024208566108006035
