experiment,instrument,family,params,validation_threshold,selection_score,validation_n,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_avg_precision,validation_brier,validation_log_loss,validation_roc_auc,validation_tn,validation_fp,validation_fn,validation_tp,validation_tuned_n,validation_tuned_threshold,validation_tuned_accuracy,validation_tuned_precision,validation_tuned_recall,validation_tuned_f1,validation_tuned_avg_precision,validation_tuned_brier,validation_tuned_log_loss,validation_tuned_roc_auc,validation_tuned_tn,validation_tuned_fp,validation_tuned_fn,validation_tuned_tp,n_train,n_validation,selected_family,is_selected
baseline,es1s,logistic,"{""C"": 0.1}",0.5,0.5013986013986014,107.0,0.4766355140186916,0.4925373134328358,0.6,0.5409836065573771,0.5186805220722149,0.3001269693210637,0.832441650371868,0.5013986013986014,18.0,34.0,22.0,33.0,107.0,0.28,0.5794392523364486,0.5595238095238095,0.8545454545454545,0.6762589928057554,0.5186805220722149,0.3001269693210637,0.832441650371868,0.5013986013986014,15.0,37.0,8.0,47.0,339,107,adaboost,0
baseline,es1s,logistic,"{""C"": 1.0}",0.5,0.4562937062937063,107.0,0.4672897196261682,0.4852941176470588,0.6,0.5365853658536586,0.5001710236228858,0.3876422689068304,1.1720815933802833,0.4562937062937063,17.0,35.0,22.0,33.0,107.0,0.25,0.5420560747663551,0.5365853658536586,0.8,0.6423357664233577,0.5001710236228858,0.3876422689068304,1.1720815933802833,0.4562937062937063,14.0,38.0,11.0,44.0,339,107,adaboost,0
baseline,es1s,random_forest,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0.5,0.5797202797202796,107.0,0.5981308411214953,0.6578947368421053,0.45454545454545453,0.5376344086021505,0.6715472890151466,0.2489177356499574,0.6920073104307324,0.5797202797202796,39.0,13.0,30.0,25.0,107.0,0.25,0.514018691588785,0.514018691588785,1.0,0.6790123456790124,0.6715472890151466,0.2489177356499574,0.6920073104307324,0.5797202797202796,0.0,52.0,0.0,55.0,339,107,adaboost,0
baseline,es1s,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 300}",0.5,0.558041958041958,107.0,0.5514018691588785,0.6,0.38181818181818183,0.4666666666666667,0.6558528150326278,0.2552408314936822,0.7065960746607013,0.558041958041958,38.0,14.0,34.0,21.0,107.0,0.25,0.4953271028037383,0.5047619047619047,0.9636363636363636,0.6625,0.6558528150326278,0.2552408314936822,0.7065960746607013,0.558041958041958,0.0,52.0,2.0,53.0,339,107,adaboost,0
baseline,es1s,extra_trees,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0.5,0.5828671328671328,107.0,0.5420560747663551,0.5441176470588235,0.6727272727272727,0.6016260162601627,0.6404029047233988,0.24599998879718307,0.68532291197777,0.5828671328671328,21.0,31.0,18.0,37.0,107.0,0.31,0.5233644859813084,0.5188679245283019,1.0,0.6832298136645962,0.6404029047233988,0.24599998879718307,0.68532291197777,0.5828671328671328,1.0,51.0,0.0,55.0,339,107,adaboost,0
baseline,es1s,extra_trees,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 300}",0.5,0.576923076923077,107.0,0.5794392523364486,0.631578947368421,0.43636363636363634,0.5161290322580645,0.6287601251714882,0.2462796874200978,0.685713149771084,0.576923076923077,38.0,14.0,31.0,24.0,107.0,0.3,0.5420560747663551,0.5288461538461539,1.0,0.6918238993710691,0.6287601251714882,0.2462796874200978,0.685713149771084,0.576923076923077,3.0,49.0,0.0,55.0,339,107,adaboost,0
baseline,es1s,hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 120, ""max_leaf_nodes"": 7}",0.5,0.536013986013986,107.0,0.5514018691588785,0.5853658536585366,0.43636363636363634,0.5,0.6116430709297396,0.3004515079753793,0.8330784335314163,0.536013986013986,35.0,17.0,31.0,24.0,107.0,0.28,0.5233644859813084,0.53125,0.6181818181818182,0.5714285714285714,0.6116430709297396,0.3004515079753793,0.8330784335314163,0.536013986013986,22.0,30.0,21.0,34.0,339,107,adaboost,0
baseline,es1s,hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 120, ""max_leaf_nodes"": 15}",0.5,0.5223776223776224,107.0,0.5887850467289719,0.6486486486486487,0.43636363636363634,0.5217391304347826,0.6109210164992014,0.32308523390896476,0.9824724616930559,0.5223776223776224,39.0,13.0,31.0,24.0,107.0,0.45,0.6074766355140186,0.6585365853658537,0.4909090909090909,0.5625,0.6109210164992014,0.32308523390896476,0.9824724616930559,0.5223776223776224,38.0,14.0,28.0,27.0,339,107,adaboost,0
baseline,es1s,adaboost,"{""learning_rate"": 0.05, ""n_estimators"": 120}",0.5,0.6211538461538462,107.0,0.5794392523364486,0.5892857142857143,0.6,0.5945945945945946,0.6354124899361502,0.24257013428516044,0.6788054157197746,0.6211538461538462,29.0,23.0,22.0,33.0,107.0,0.38,0.5794392523364486,0.5531914893617021,0.9454545454545454,0.697986577181208,0.6354124899361502,0.24257013428516044,0.6788054157197746,0.6211538461538462,10.0,42.0,3.0,52.0,339,107,adaboost,1
baseline,es1s,mlp,"{""alpha"": 0.001, ""hidden_layer_sizes"": [24], ""learning_rate_init"": 0.001}",0.5,0.570979020979021,107.0,0.5514018691588785,0.5507246376811594,0.6909090909090909,0.6129032258064516,0.572211678913732,0.2530368277113482,0.703722206500698,0.570979020979021,21.0,31.0,17.0,38.0,107.0,0.33,0.5233644859813084,0.5188679245283019,1.0,0.6832298136645962,0.572211678913732,0.2530368277113482,0.703722206500698,0.570979020979021,1.0,51.0,0.0,55.0,339,107,adaboost,0
