experiment,instrument,family,is_selected_family,threshold,n,accuracy,precision,recall,f1,avg_precision,brier,log_loss,roc_auc,tn,fp,fn,tp
baseline,es1s,logistic,0,0.5,115.0,0.4608695652173913,0.4367816091954023,0.7450980392156863,0.5507246376811594,0.45770256629847944,0.3448895735479318,0.9512749052180574,0.4825367647058823,15.0,49.0,13.0,38.0
baseline,es1s,logistic,0,0.55,115.0,0.4608695652173913,0.43209876543209874,0.6862745098039216,0.5303030303030303,0.45770256629847944,0.3448895735479318,0.9512749052180574,0.4825367647058823,18.0,46.0,16.0,35.0
baseline,es1s,logistic,0,0.6,115.0,0.5130434782608696,0.4647887323943662,0.6470588235294118,0.5409836065573771,0.45770256629847944,0.3448895735479318,0.9512749052180574,0.4825367647058823,26.0,38.0,18.0,33.0
baseline,es1s,logistic,0,0.65,115.0,0.5217391304347826,0.4666666666666667,0.5490196078431373,0.5045045045045045,0.45770256629847944,0.3448895735479318,0.9512749052180574,0.4825367647058823,32.0,32.0,23.0,28.0
baseline,es1s,logistic,0,0.7,115.0,0.5217391304347826,0.46296296296296297,0.49019607843137253,0.47619047619047616,0.45770256629847944,0.3448895735479318,0.9512749052180574,0.4825367647058823,35.0,29.0,26.0,25.0
baseline,es1s,random_forest,0,0.5,115.0,0.3565217391304348,0.37362637362637363,0.6666666666666666,0.4788732394366197,0.5025989098371922,0.2892582924740288,0.7732284959327921,0.42800245098039214,7.0,57.0,17.0,34.0
baseline,es1s,random_forest,0,0.55,115.0,0.3652173913043478,0.375,0.6470588235294118,0.4748201438848921,0.5025989098371922,0.2892582924740288,0.7732284959327921,0.42800245098039214,9.0,55.0,18.0,33.0
baseline,es1s,random_forest,0,0.6,115.0,0.4608695652173913,0.42028985507246375,0.5686274509803921,0.48333333333333334,0.5025989098371922,0.2892582924740288,0.7732284959327921,0.42800245098039214,24.0,40.0,22.0,29.0
baseline,es1s,random_forest,0,0.65,115.0,0.5826086956521739,0.6,0.17647058823529413,0.2727272727272727,0.5025989098371922,0.2892582924740288,0.7732284959327921,0.42800245098039214,58.0,6.0,42.0,9.0
baseline,es1s,random_forest,0,0.7,115.0,0.5652173913043478,1.0,0.0196078431372549,0.038461538461538464,0.5025989098371922,0.2892582924740288,0.7732284959327921,0.42800245098039214,64.0,0.0,50.0,1.0
