experiment,instrument,asset_class,family,params,is_selected_family,selected_threshold,validation_score,n_train,n_validation,n_test,oos_n,oos_threshold,oos_accuracy,oos_precision,oos_recall,oos_f1,oos_avg_precision,oos_brier,oos_log_loss,oos_roc_auc,oos_tn,oos_fp,oos_fn,oos_tp,oos_05_n,oos_05_threshold,oos_05_accuracy,oos_05_precision,oos_05_recall,oos_05_f1,oos_05_avg_precision,oos_05_brier,oos_05_log_loss,oos_05_roc_auc,oos_05_tn,oos_05_fp,oos_05_fn,oos_05_tp,baseline_n,baseline_threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1,baseline_avg_precision,baseline_brier,baseline_log_loss,baseline_roc_auc,baseline_tn,baseline_fp,baseline_fn,baseline_tp,baseline_mean_side_return,baseline_total_side_return,meta_trade_rate,meta_mean_side_return_when_taken,meta_total_side_return_when_taken
baseline,es1s,equity_index,logistic,"{""C"": 0.1}",0,0.28,0.5013986013986014,451,107,115,115.0,0.28,0.3826086956521739,0.4056603773584906,0.8431372549019608,0.5477707006369427,0.45770256629847944,0.3448895735479318,0.9512749052180574,0.4825367647058823,1.0,63.0,8.0,43.0,115.0,0.5,0.4608695652173913,0.4367816091954023,0.7450980392156863,0.5507246376811594,0.45770256629847944,0.3448895735479318,0.9512749052180574,0.4825367647058823,15.0,49.0,13.0,38.0,115.0,0.5,0.4434782608695652,0.4434782608695652,1.0,0.6144578313253012,0.4434782608695652,0.5565217391304348,20.059076668726064,0.5,0.0,64.0,0.0,51.0,-0.0005904185384137409,-0.0678981319175802,0.9217391304347826,-0.002707235630309756,-0.2869669768128341
baseline,es1s,equity_index,random_forest,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0,0.25,0.5797202797202796,451,107,115,115.0,0.25,0.4434782608695652,0.4434782608695652,1.0,0.6144578313253012,0.5025989098371922,0.2892582924740288,0.7732284959327921,0.42800245098039214,0.0,64.0,0.0,51.0,115.0,0.5,0.3565217391304348,0.37362637362637363,0.6666666666666666,0.4788732394366197,0.5025989098371922,0.2892582924740288,0.7732284959327921,0.42800245098039214,7.0,57.0,17.0,34.0,115.0,0.5,0.4434782608695652,0.4434782608695652,1.0,0.6144578313253012,0.4434782608695652,0.5565217391304348,20.059076668726064,0.5,0.0,64.0,0.0,51.0,-0.0005904185384137409,-0.0678981319175802,1.0,-0.0005904185384137409,-0.0678981319175802
baseline,es1s,equity_index,extra_trees,"{""max_depth"": 3, ""max_features"": ""sqrt"", ""min_samples_leaf"": 8, ""n_estimators"": 300}",0,0.31,0.5828671328671328,451,107,115,115.0,0.31,0.4434782608695652,0.4434782608695652,1.0,0.6144578313253012,0.5795106503523609,0.282498017260316,0.7591222113437589,0.5361519607843137,0.0,64.0,0.0,51.0,115.0,0.5,0.3565217391304348,0.37362637362637363,0.6666666666666666,0.4788732394366197,0.5795106503523609,0.282498017260316,0.7591222113437589,0.5361519607843137,7.0,57.0,17.0,34.0,115.0,0.5,0.4434782608695652,0.4434782608695652,1.0,0.6144578313253012,0.4434782608695652,0.5565217391304348,20.059076668726064,0.5,0.0,64.0,0.0,51.0,-0.0005904185384137409,-0.0678981319175802,1.0,-0.0005904185384137409,-0.0678981319175802
baseline,es1s,equity_index,hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.03, ""max_iter"": 120, ""max_leaf_nodes"": 7}",0,0.28,0.536013986013986,451,107,115,115.0,0.28,0.41739130434782606,0.4230769230769231,0.8627450980392157,0.567741935483871,0.43391411534854796,0.35963507191323524,0.9454833427173982,0.38357843137254904,4.0,60.0,7.0,44.0,115.0,0.5,0.3652173913043478,0.36904761904761907,0.6078431372549019,0.45925925925925926,0.43391411534854796,0.35963507191323524,0.9454833427173982,0.38357843137254904,11.0,53.0,20.0,31.0,115.0,0.5,0.4434782608695652,0.4434782608695652,1.0,0.6144578313253012,0.4434782608695652,0.5565217391304348,20.059076668726064,0.5,0.0,64.0,0.0,51.0,-0.0005904185384137409,-0.0678981319175802,0.9043478260869565,-0.001628343458388325,-0.16934771967238582
baseline,es1s,equity_index,adaboost,"{""learning_rate"": 0.05, ""n_estimators"": 120}",1,0.38,0.6211538461538462,451,107,115,115.0,0.38,0.4434782608695652,0.4434782608695652,1.0,0.6144578313253012,0.5420895786526931,0.30519483870645975,0.8093457688485016,0.5128676470588236,0.0,64.0,0.0,51.0,115.0,0.5,0.4608695652173913,0.45132743362831856,1.0,0.6219512195121951,0.5420895786526931,0.30519483870645975,0.8093457688485016,0.5128676470588236,2.0,62.0,0.0,51.0,115.0,0.5,0.4434782608695652,0.4434782608695652,1.0,0.6144578313253012,0.4434782608695652,0.5565217391304348,20.059076668726064,0.5,0.0,64.0,0.0,51.0,-0.0005904185384137409,-0.0678981319175802,1.0,-0.0005904185384137409,-0.0678981319175802
baseline,es1s,equity_index,mlp,"{""alpha"": 0.001, ""hidden_layer_sizes"": [24], ""learning_rate_init"": 0.001}",0,0.33,0.570979020979021,451,107,115,115.0,0.33,0.4434782608695652,0.4434782608695652,1.0,0.6144578313253012,0.44480683469727755,0.30590640382847273,0.8232085295372675,0.5091911764705882,0.0,64.0,0.0,51.0,115.0,0.5,0.4782608695652174,0.4563106796116505,0.9215686274509803,0.6103896103896104,0.44480683469727755,0.30590640382847273,0.8232085295372675,0.5091911764705882,8.0,56.0,4.0,47.0,115.0,0.5,0.4434782608695652,0.4434782608695652,1.0,0.6144578313253012,0.4434782608695652,0.5565217391304348,20.059076668726064,0.5,0.0,64.0,0.0,51.0,-0.0005904185384137409,-0.0678981319175802,1.0,-0.0005904185384137409,-0.0678981319175802
baseline,nq1s,equity_index,logistic,"{""C"": 1.0}",0,0.35,0.4270361990950226,476,120,118,118.0,0.35,0.5423728813559322,0.5526315789473685,0.9545454545454546,0.7,0.506266705140553,0.4018654625092277,1.3175280396626472,0.33945221445221446,1.0,51.0,3.0,63.0,118.0,0.5,0.4745762711864407,0.5192307692307693,0.8181818181818182,0.6352941176470588,0.506266705140553,0.4018654625092277,1.3175280396626472,0.33945221445221446,2.0,50.0,12.0,54.0,118.0,0.5,0.559322033898305,0.559322033898305,1.0,0.717391304347826,0.559322033898305,0.4406779661016949,15.883643866390612,0.5,0.0,52.0,0.0,66.0,0.004031760368745098,0.4757477235119216,0.9661016949152542,0.0033690228248857185,0.3840686020369719
baseline,nq1s,equity_index,random_forest,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 300}",0,0.39,0.4968891402714932,476,120,118,118.0,0.39,0.5423728813559322,0.5526315789473685,0.9545454545454546,0.7,0.4325353266934656,0.30862338969232994,0.8239739997689415,0.2907925407925408,1.0,51.0,3.0,63.0,118.0,0.5,0.3813559322033898,0.4567901234567901,0.5606060606060606,0.5034013605442177,0.4325353266934656,0.30862338969232994,0.8239739997689415,0.2907925407925408,8.0,44.0,29.0,37.0,118.0,0.5,0.559322033898305,0.559322033898305,1.0,0.717391304347826,0.559322033898305,0.4406779661016949,15.883643866390612,0.5,0.0,52.0,0.0,66.0,0.004031760368745098,0.4757477235119216,0.9661016949152542,0.0034239234645751172,0.3903272749615634
baseline,nq1s,equity_index,extra_trees,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 12, ""n_estimators"": 300}",0,0.33,0.43834841628959276,476,120,118,118.0,0.33,0.559322033898305,0.5614035087719298,0.9696969696969697,0.7111111111111111,0.44604729861011494,0.319173626901776,0.840526554194878,0.3097319347319347,2.0,50.0,2.0,64.0,118.0,0.5,0.3474576271186441,0.4266666666666667,0.48484848484848486,0.45390070921985815,0.44604729861011494,0.319173626901776,0.840526554194878,0.3097319347319347,9.0,43.0,34.0,32.0,118.0,0.5,0.559322033898305,0.559322033898305,1.0,0.717391304347826,0.559322033898305,0.4406779661016949,15.883643866390612,0.5,0.0,52.0,0.0,66.0,0.004031760368745098,0.4757477235119216,0.9661016949152542,0.004088131791916632,0.4660470242784961
baseline,nq1s,equity_index,hist_gradient_boosting,"{""l2_regularization"": 0.1, ""learning_rate"": 0.05, ""max_iter"": 120, ""max_leaf_nodes"": 15}",1,0.25,0.5463800904977376,476,120,118,118.0,0.25,0.4830508474576271,0.5229357798165137,0.8636363636363636,0.6514285714285715,0.47461362533219537,0.38256336200482816,1.1679402584564258,0.37412587412587417,0.0,52.0,9.0,57.0,118.0,0.5,0.4661016949152542,0.5151515151515151,0.7727272727272727,0.6181818181818182,0.47461362533219537,0.38256336200482816,1.1679402584564258,0.37412587412587417,4.0,48.0,15.0,51.0,118.0,0.5,0.559322033898305,0.559322033898305,1.0,0.717391304347826,0.559322033898305,0.4406779661016949,15.883643866390612,0.5,0.0,52.0,0.0,66.0,0.004031760368745098,0.4757477235119216,0.923728813559322,0.0013045677537736262,0.14219788516132525
