instrument,asset_class,selected_family,final_experiment,validation_score,selected_threshold,n_train,n_validation,n_test,meta_roc_auc,meta_precision,meta_recall,meta_f1,meta_accuracy,meta_tn,meta_fp,meta_fn,meta_tp,meta_05_roc_auc,meta_05_precision,meta_05_recall,meta_05_f1,baseline_precision,baseline_recall,baseline_f1,baseline_roc_auc,baseline_mean_side_return,meta_trade_rate,meta_mean_side_return_when_taken,meta_total_side_return_when_taken
es1s,equity_index,logistic,baseline,0.5013986013986014,0.28,451,107,115,0.4825367647058823,0.4056603773584906,0.8431372549019608,0.5477707006369427,0.3826086956521739,1.0,63.0,8.0,43.0,0.4825367647058823,0.4367816091954023,0.7450980392156863,0.5507246376811594,0.4434782608695652,1.0,0.6144578313253012,0.5,-0.0005904185384137409,0.9217391304347826,-0.002707235630309756,-0.2869669768128341
nq1s,equity_index,logistic,baseline,0.4270361990950226,0.35,476,120,118,0.33945221445221446,0.5526315789473685,0.9545454545454546,0.7,0.5423728813559322,1.0,51.0,3.0,63.0,0.33945221445221446,0.5192307692307693,0.8181818181818182,0.6352941176470588,0.559322033898305,1.0,0.717391304347826,0.5,0.004031760368745098,0.9661016949152542,0.0033690228248857185,0.3840686020369719
fesx1s,equity_index,logistic,baseline,0.6001536885245902,0.27,505,125,123,0.5714285714285715,0.5925925925925926,0.7164179104477612,0.6486486486486487,0.5772357723577236,23.0,33.0,19.0,48.0,0.5714285714285715,0.6078431372549019,0.4626865671641791,0.5254237288135594,0.5447154471544715,1.0,0.7052631578947368,0.5,0.0022420589760497336,0.6585365853658537,0.005231522107020079,0.42375329066862644
cl1s,energy,logistic,baseline,0.30070754716981135,0.25,329,101,83,0.7005347593582888,0.8,0.9696969696969697,0.8767123287671232,0.7831325301204819,1.0,16.0,2.0,64.0,0.7005347593582888,0.8115942028985508,0.8484848484848485,0.8296296296296296,0.7951807228915663,1.0,0.8859060402684564,0.5,0.03050466459975705,0.963855421686747,0.030352959440711612,2.428236755256929
ho1s,energy,logistic,baseline,0.5294117647058824,0.25,57,23,2,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,-0.07496858308874121,1.0,-0.07496858308874121,-0.14993716617748243
rb1s,energy,logistic,baseline,0.5717808219178082,0.25,499,123,123,0.6665697674418605,0.6633663366336634,0.8375,0.7403314917127072,0.6178861788617886,9.0,34.0,13.0,67.0,0.6665697674418605,0.8536585365853658,0.4375,0.5785123966942148,0.6504065040650406,1.0,0.7881773399014779,0.5,0.015499828454908144,0.8211382113821138,0.01673263871072945,1.6899965097836742
ng1s,energy,logistic,baseline,0.6799999999999999,0.25,68,40,56,0.5263888888888889,0.35294117647058826,0.6,0.4444444444444444,0.4642857142857143,14.0,22.0,8.0,12.0,0.5263888888888889,0.3793103448275862,0.55,0.4489795918367347,0.35714285714285715,1.0,0.5263157894736842,0.5,-0.02687086384945652,0.6071428571428571,-0.021029039116148635,-0.7149873299490536
gc1s,metals,logistic,baseline,0.1208791208791209,0.25,138,20,24,0.7342657342657342,0.5416666666666666,1.0,0.7027027027027027,0.5416666666666666,0.0,11.0,0.0,13.0,0.7342657342657342,0.6875,0.8461538461538461,0.7586206896551724,0.5416666666666666,1.0,0.7027027027027027,0.5,0.0006253046527088061,1.0,0.0006253046527088061,0.015007311665011347
si1s,metals,logistic,baseline,0.48675115207373276,0.25,457,118,114,0.4797401793999382,0.4752475247524752,0.9056603773584906,0.6233766233766234,0.49122807017543857,8.0,53.0,5.0,48.0,0.4797401793999382,0.46511627906976744,0.37735849056603776,0.4166666666666667,0.4649122807017544,1.0,0.6347305389221557,0.5,-0.0023472466561628353,0.8859649122807017,-0.001172808202573858,-0.11845362845995966
hg1s,metals,logistic,baseline,0.5129577464788733,0.25,497,121,118,0.5589698565993562,0.5865384615384616,0.9104477611940298,0.7134502923976608,0.5847457627118644,8.0,43.0,6.0,61.0,0.5589698565993562,0.575,0.34328358208955223,0.42990654205607476,0.5677966101694916,1.0,0.7243243243243244,0.5,0.0024103366016741405,0.8813559322033898,0.004005131508049752,0.41653367683717424
pl1s,metals,logistic,baseline,0.5006944444444444,0.25,446,108,99,0.6652542372881356,0.684931506849315,0.847457627118644,0.7575757575757576,0.6767676767676768,17.0,23.0,9.0,50.0,0.6652542372881356,0.75,0.4576271186440678,0.5684210526315789,0.5959595959595959,1.0,0.7468354430379747,0.5,0.009960061121470368,0.7373737373737373,0.01731500023473896,1.2639950171359442
